Job_Name,Geom_Order,WSType,CSType,Global_Size,num_elements,Max_Mises_Stress,Max_Deflection,Analytical_Solution,memory_used,AppliedPressure
TetHex8,Linear,Hex,Tet,0.5,53,7.46E+05,6.92E-07,,,1.00E+06
TetHex7,Linear,Hex,Tet,0.25,70,7.42E+05,6.77E-07,,,1.00E+06
TetHex2,Linear,Hex,Tet,0.1,87,9.26E+06,6.82E-07,,,1.00E+06
TetHex3,Linear,Hex,Tet,0.05,199,1.38E+06,8.22E-07,,,1.00E+06
TetHex4,Linear,Hex,Tet,0.025,263,1.36E+06,9.64E-07,,,1.00E+06
TetHex1,Linear,Hex,Tet,0.01,2043,1.37E+06,1.15E-06,,,1.00E+06
TetHex5,Linear,Hex,Tet,0.005,13945,1.91E+06,1.23E-06,,,1.00E+06
TetHex6,Linear,Hex,Tet,0.0025,97762,2.41E+06,1.26E-06,,,1.00E+06
HexHex1,Linear,Hex,Hex-Dominated,0.0025,38652,2.69E+06,1.26E-06,,,1.00E+06
HexHex2,Linear,Hex,Hex-Dominated,0.005,4752,2.45E+06,1.25E-06,,,1.00E+06
HexHex3,Linear,Hex,Hex-Dominated,0.01,660,1.97E+06,1.21E-06,,,1.00E+06
HexHex4,Linear,Hex,Hex-Dominated,0.025,47,1.32E+06,1.04E-06,,,1.00E+06
HexHex5,Linear,Hex,Hex-Dominated,0.05,35,1.44E+06,8.52E-07,,,1.00E+06
HexHex6,Linear,Hex,Hex-Dominated,0.1,,1.05E+06,8.68E-07,,,1.00E+06
HexHex7,Linear,Hex,Hex-Dominated,0.25,,7.72E+05,7.66E-07,,,1.00E+06
HexHex8,Linear,Hex,Hex-Dominated,0.5,,1.05E+06,8.68E-07,,,1.00E+06
HexWedge1,Linear,Hex,Wedge,0.0025,,2.25E+06,1.26E-06,,,1.00E+06
HexWedge2,Linear,Hex,Wedge,0.005,,1.74E+06,1.23E-06,,,1.00E+06
HexWedge3,Linear,Hex,Wedge,0.01,,1.34E+06,1.16E-06,,,1.00E+06
HexWedge4,Linear,Hex,Wedge,0.025,,1.01E+06,9.43E-07,,,1.00E+06
HexWedge5,Linear,Hex,Wedge,0.05,,1.21E+06,8.14E-07,,,1.00E+06
HexWedge6,Linear,Hex,Wedge,0.1,,6.63E+05,6.59E-07,,,1.00E+06
HexWedge7,Linear,Hex,Wedge,0.25,,5.98E+05,6.50E-07,,,1.00E+06
HexWedge8,Linear,Hex,Wedge,0.5,,6.67E+05,6.68E-07,,,1.00E+06
TetQuad1,Quadratic,Hex,Tet,0.0025,,2.91E+06,1.27E-06,,,1.00E+06
TetQuad2,Quadratic,Hex,Tet,0.005,,2.79E+06,1.27E-06,,,1.00E+06
TetQuad3,Quadratic,Hex,Tet,0.01,,2.53E+06,1.26E-06,,,1.00E+06
TetQuad4,Quadratic,Hex,Tet,0.025,,2.41E+06,1.25E-06,,,1.00E+06
TetQuad5,Quadratic,Hex,Tet,0.05,,2.35E+06,1.23E-06,,,1.00E+06
TetQuad6,Quadratic,Hex,Tet,0.1,,1.87E+06,1.18E-06,,,1.00E+06
TetQuad7,Quadratic,Hex,Tet,0.25,,1.41E+06,1.14E-06,,,1.00E+06
TetQuad8,Quadratic,Hex,Tet,0.5,,1.41E+06,1.14E-06,,,1.00E+06
HexQuad1,Quadratic,Hex,Hex-Dominated,0.0025,,2.86E+06,1.27E-06,,,1.00E+06
HexQuad2,Quadratic,Hex,Hex-Dominated,0.005,,2.78E+06,1.27E-06,,,1.00E+06
HexQuad3,Quadratic,Hex,Hex-Dominated,0.01,,2.90E+06,1.27E-06,,,1.00E+06
HexQuad4,Quadratic,Hex,Hex-Dominated,0.025,,2.04E+06,1.26E-06,,,1.00E+06
HexQuad5,Quadratic,Hex,Hex-Dominated,0.05,,2.24E+06,1.25E-06,,,1.00E+06
HexQuad6,Quadratic,Hex,Hex-Dominated,0.1,,1.80E+06,1.23E-06,,,1.00E+06
HexQuad7,Quadratic,Hex,Hex-Dominated,0.25,,1.50E+06,1.18E-06,,,1.00E+06
HexQuad8,Quadratic,Hex,Hex-Dominated,0.5,,1.50E+06,1.18E-06,,,1.00E+06
WedgeQuad1,Quadratic,Hex,Wedge,0.0025,,2.86E+06,1.27E-06,,,1.00E+06
WedgeQuad2,Quadratic,Hex,Wedge,0.005,,2.71E+06,1.27E-06,,,1.00E+06
WedgeQuad3,Quadratic,Hex,Wedge,0.01,,2.59E+06,1.26E-06,,,1.00E+06
WedgeQuad4,Quadratic,Hex,Wedge,0.025,,2.36E+06,1.24E-06,,,1.00E+06
WedgeQuad5,Quadratic,Hex,Wedge,0.05,,2.29E+06,1.23E-06,,,1.00E+06
WedgeQuad6,Quadratic,Hex,Wedge,0.1,,1.79E+06,1.17E-06,,,1.00E+06
WedgeQuad7,Quadratic,Hex,Wedge,0.25,,1.42E+06,1.16E-06,,,1.00E+06
WedgeQuad8,Quadratic,Hex,Wedge,0.5,,1.41E+06,1.16E-06,,,1.00E+06